City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,suyo,16.9762,120.5254,300.26,87,100,3.38,PH,1690957085
242,st. john's,47.5649,-52.7093,288.81,94,100,3.6,CA,1690957063
243,bidbid,23.4079,58.1283,303.85,28,41,3.91,OM,1690957085
244,carauari,-4.8828,-66.8958,295.91,83,60,0.38,BR,1690957086
245,verkhov'ye,52.8119,37.2425,294.91,68,25,2.99,RU,1690957086
246,nayoro,44.3506,142.4578,301.7,63,55,6.78,JP,1690957086
247,choma,-16.8065,26.9531,286.66,78,73,4.58,ZM,1690957086
248,buka,40.8108,69.1986,311.48,15,8,3.37,UZ,1690957086
249,ashburton,-37.8626,145.0794,291.14,55,0,3.58,AU,1690956963
250,daru,-9.0763,143.2092,299.24,76,89,6.87,PG,1690956587
251,sandnessjoen,66.0217,12.6316,291.21,59,0,1.54,NO,1690956530
252,ma'rib,15.4591,45.3253,306.45,25,92,3.96,YE,1690956608
253,andreyevo,55.9465,41.1505,294.01,65,99,2.94,RU,1690957087
254,tofol,5.3248,163.0078,300.03,83,100,5.14,FM,1690957088
255,udachny,66.4167,112.4,297.29,46,93,5.82,RU,1690956492
256,panacan,9.2463,118.4082,302.21,77,96,6.55,PH,1690957088
257,trudovoye,43.3058,132.0817,301.0,83,40,3.0,RU,1690957089
258,port elizabeth,-33.918,25.5701,281.31,87,0,2.57,ZA,1690957089
259,mana,5.6592,-53.7767,298.01,91,7,1.99,GF,1690957089
260,codrington,-38.2667,141.9667,288.22,71,0,6.53,AU,1690956513
261,kuraymah,18.55,31.85,306.48,39,81,6.47,SD,1690957090
262,east london,-33.0153,27.9116,285.56,64,7,2.92,ZA,1690956516
263,arfoud,31.4348,-4.2375,303.42,9,16,3.9,MA,1690957091
264,badger,64.8,-147.5333,296.1,54,40,3.09,US,1690957091
265,las tablas,7.7667,-80.2833,299.91,99,62,0.43,PA,1690956816
266,canutama,-6.5339,-64.3831,296.82,65,70,1.18,BR,1690957092
267,cidade velha,14.9167,-23.6167,298.41,83,20,2.57,CV,1690956859
268,road town,18.4167,-64.6167,301.2,77,6,2.64,VG,1690957092
269,bayganin,48.6947,55.8742,301.27,31,2,4.8,KZ,1690957092
